Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Water Gate Bridge,"$480,194,494","$117,294",100%,"$480,077,200"
2,Uncharted,"$229,838,933","$86,838,933",62.2%,"$143,000,000"
3,Too Cool to Kill,"$217,178,670","$144,812",99.9%,"$217,033,858"
4,Scream,"$137,880,980","$79,480,980",42.4%,"$58,400,000"
5,Death on the Nile,"$102,057,066","$33,665,899",67%,"$68,391,167"
6,Jackass Forever,"$68,793,540","$52,651,978",23.5%,"$16,141,562"
7,Marry Me,"$44,379,225","$20,644,225",53.5%,"$23,735,000"
8,Moonfall,"$38,390,418","$18,800,293",51%,"$19,590,125"
9,Dog,"$36,953,240","$32,713,996",11.5%,"$4,239,244"
10,The 355,"$26,851,707","$14,569,725",45.7%,"$12,281,982"
11,Wunderschön,"$11,600,000",-,100%,"$11,600,000"
12,Super-héros malgré lui,"$10,755,096",-,100%,"$10,755,096"
13,The Pirates: The Last Royal Treasure,"$10,247,262",-,100%,"$10,247,262"
14,Blacklight,"$9,727,446","$8,906,269",8.4%,"$821,177"
15,Redeeming Love,"$9,409,753","$9,196,780",2.3%,"$212,973"
16,Vaillante,"$6,881,984",-,100%,"$6,881,984"
17,Kingmaker,"$6,038,971",-,100%,"$6,038,971"
18,Adieu Monsieur Haffmann,"$5,781,484",-,100%,"$5,781,484"
19,The Policeman's Lineage,"$5,648,375",-,100%,"$5,648,375"
20,Waiting for Bojangles,"$4,417,811",-,100%,"$4,417,811"
21,Maison de retraite,"$4,255,379",-,100%,"$4,255,379"
22,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,100%,"$3,957,350"
23,The Cursed,"$3,651,964","$3,651,964",-,-
24,Special Delivery,"$3,504,022",-,100%,"$3,504,022"
25,Beautiful Minds,"$3,358,402",-,100%,"$3,358,402"
26,Between Two Worlds,"$3,317,253",-,100%,"$3,317,253"
27,Disobedient,"$3,063,643",-,100%,"$3,063,643"
28,Chia Khoa Tram Ty,"$2,820,544",-,100%,"$2,820,544"
29,Cyrano,"$2,687,997","$1,677,997",37.6%,"$1,010,000"
30,Chuyen Ma Gan Nhà,"$2,635,059",-,100%,"$2,635,059"
31,The Godfather 2022 Re-release,"$2,560,986","$1,160,986",54.7%,"$1,400,000"
32,The Young Lovers,"$2,440,653",-,100%,"$2,440,653"
33,Promises,"$2,396,811",-,100%,"$2,396,811"
34,The Beatles: Get Back - The Rooftop Concert,"$2,170,877","$970,877",55.3%,"$1,200,000"
35,The Wannabes,"$2,078,834",-,100%,"$2,078,834"
36,Studio 666,"$1,969,812","$1,784,946",9.4%,"$184,866"
37,"8 rzeczy, których nie wiecie o facetach","$1,948,380",-,100%,"$1,948,380"
38,Aslan: Hürkus kayip Elmas,"$1,872,513",-,100%,"$1,872,513"
39,The Grandmother,"$1,790,346",-,100%,"$1,790,346"
40,The King's Daughter,"$1,758,963","$1,758,963",-,-
41,Love Mocktail 2,"$1,750,544",-,100%,"$1,750,544"
42,Hridayam,"$1,738,689",-,100%,"$1,738,689"
43,Fireheart,"$1,735,889",-,100%,"$1,735,889"
44,"Love, Sex & Pandemic","$1,712,634",-,100%,"$1,712,634"
45,Aaraattu,"$1,641,759",-,100%,"$1,641,759"
46,The Beatles: Get Back,"$1,600,716",-,100%,"$1,600,716"
47,Gierek,"$1,531,831",-,100%,"$1,531,831"
48,For Ziko,"$1,492,876",-,100%,"$1,492,876"
49,King,"$1,426,723",-,100%,"$1,426,723"
50,Love Is Better Than Life,"$1,410,719",-,100%,"$1,410,719"
51,Chickenhare and the Hamster of Darkness,"$1,406,490",-,100%,"$1,406,490"
52,The Duke,"$1,331,535",-,100%,"$1,331,535"
53,Nhà Khong Bán,"$1,256,299",-,100%,"$1,256,299"
54,Around the World in 80 Days,"$1,243,618",-,100%,"$1,243,618"
55,Un Autre Monde,"$1,242,605",-,100%,"$1,242,605"
