votes,answers,views,question,tags,user,user_reputation,time_asked
11879,47,2.8m,"What is the use of the yield keyword in Python? What does it do? For example, I'm trying to understand this code1: def _get_child_candidates(self, distance, min_dist, max_dist): if self._leftchild ...",python iterator generator yield coroutine,Alex. S.,134k,"asked Oct 23, 2008 at 22:21"
6652,24,981k,"In Python, what are metaclasses and what do we use them for?",python oop metaclass python-class python-datamodel,e-satis,544k,"asked Sep 19, 2008 at 6:10"
6545,42,4.8m,"How do I check whether a file exists or not, without using the try statement?",python file file-exists,spence91,72k,"asked Sep 17, 2008 at 12:55"
6165,56,2.6m,"I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged (i.e. taking the union). The update() method would be what I need, if it returned ...",python dictionary merge,Carl Meyer,113k,"asked Sep 2, 2008 at 7:44"
5622,63,4.0m,How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,python shell terminal subprocess command,freshWoWer,57.9k,"asked Sep 18, 2008 at 1:35"
5105,29,3.2m,"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried: import os file_path = ""/my/...",python exception path directory operating-system,Parand,96.4k,"asked Nov 7, 2008 at 18:56"
4572,22,3.0m,"How do I access the index in a for loop like the following? ints = [8, 23, 45, 12, 78] for i in ints: print('item #{} = {}'.format(???, i)) I want to get this output: item #1 = 8 item #2 = 23 ...",python loops list,Joan Venge,287k,"asked Feb 6, 2009 at 22:47"
4527,26,3.3m,"Is there a shortcut to make a simple list out of a list of lists in Python? I can do it in a for loop, but is there some cool ""one-liner""? I tried it with functools.reduce(): from functools ...",python list multidimensional-array flatten,Emma,45.9k,"asked Jun 4, 2009 at 20:30"
4223,33,946k,What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,python oop methods python-decorators,Daryl Spitzer,131k,"asked Sep 25, 2008 at 21:01"
4150,33,2.5m,"I need a good explanation (references are a plus) on Python's slice notation. To me, this notation needs a bit of picking up. It looks extremely powerful, but I haven't quite got my head around it....",python list slice iterable,Simon,74.1k,"asked Feb 3, 2009 at 22:31"
3959,39,5.3m,"Given a list [""foo"", ""bar"", ""baz""] and an item in the list ""bar"", how do I get its index (1) in Python?",python list indexing,Eugene M,43.9k,"asked Oct 7, 2008 at 1:39"
3819,15,5.1m,"I am a bit puzzled by the following code: d = {'x': 1, 'y': 2, 'z': 3} for key in d: print (key, 'corresponds to', d[key]) What I don't understand is the key portion. How does Python recognize ...",python dictionary,TopChef,39.8k,"asked Jul 20, 2010 at 22:27"
3607,22,3.6m,"How can I create or use a global variable in a function? If I create a global variable in one function, how can I use that global variable in another function? Do I need to store the global variable ...",python global-variables scope,user46646,142k,"asked Jan 8, 2009 at 5:45"
3591,10,5.7m,"I'm looking for a string.contains or string.indexof method in Python. I want to do: if not somestring.contains(""blah""): continue",python string substring contains,Blankman,246k,"asked Aug 9, 2010 at 2:52"
3488,49,3.8m,What is the module/method used to get the current time?,python datetime time,user46646,142k,"asked Jan 6, 2009 at 4:54"
3466,21,6.5m,How can I list all files of a directory in Python and add them to a list?,python directory,duhhunjonn,43.6k,"asked Jul 8, 2010 at 19:31"
3436,5,1.2m,I know that I can do: try: # do something that may fail except: # do this if ANYTHING goes wrong I can also do this: try: # do something that may fail except IDontLikeYouException: #...,python exception exception-handling,inspectorG4dget,103k,"asked Jun 24, 2011 at 15:55"
3417,34,4.2m,"I have a dictionary of values read from two fields in a database: a string field and a numeric field. The string field is unique, so that is the key of the dictionary. I can sort on the keys, but how ...",python sorting dictionary,Gern Blanston,42k,"asked Mar 5, 2009 at 0:49"
3315,25,837k,What is the difference between __str__ and __repr__ in Python?,python magic-methods repr,Casebash,106k,"asked Sep 17, 2009 at 4:27"
3278,23,4.8m,Is it possible to add a key to a Python dictionary after it has been created? It doesn't seem to have an .add() method.,python dictionary lookup,lfaraone,47.4k,"asked Jun 21, 2009 at 22:07"
3277,32,4.9m,"I have a DataFrame from Pandas: import pandas as pd inp = [{'c1':10, 'c2':100}, {'c1':11,'c2':110}, {'c1':12,'c2':120}] df = pd.DataFrame(inp) print df Output: c1 c2 0 10 100 1 11 110 2 ...",python pandas dataframe,Roman,109k,"asked May 10, 2013 at 7:04"
3242,35,3.5m,"How do I concatenate two lists in Python? Example: listone = [1, 2, 3] listtwo = [4, 5, 6] Expected outcome: >>> joinedlist [1, 2, 3, 4, 5, 6]",python list concatenation,y2k,63.8k,"asked Nov 12, 2009 at 7:04"
3231,27,4.1m,"For example, if passed the following: a = [] How do I check to see if a is empty?",python list,Ray,178k,"asked Sep 10, 2008 at 6:20"
3231,21,2.7m,How do I copy a file in Python? I couldn't find anything under os module.,python file copy filesystems file-copying,Matt,77.1k,"asked Sep 23, 2008 at 19:23"
3230,23,3.9m,"I'm using this code to get standard output from an external program: >>> from subprocess import * >>> command_stdout = Popen(['ls', '-l'], stdout=PIPE).communicate()[0] The ...",python string python-3.x,Tomas Sedovic,38k,"asked Mar 3, 2009 at 12:23"
3113,20,3.2m,What's the difference between the list methods append() and extend()?,python list data-structures append extend,Claudiu,214k,"asked Oct 31, 2008 at 5:55"
3111,12,1.7m,What is __init__.py for in a Python source directory?,python module package python-packaging,Mat,73.7k,"asked Jan 15, 2009 at 20:09"
3081,31,209k,Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue: def foo(a=[]): a.append(5) return a Python novices would expect this function to always ...,python language-design default-parameters least-astonishment,Stefano Borini,132k,"asked Jul 15, 2009 at 18:00"
3058,13,3.5m,I would like to know how to put a time delay in a Python script.,python python-3.x delay sleep timedelay,user46646,142k,"asked Feb 4, 2009 at 7:04"
3045,35,1.7m,"The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original' class PassByReference: def ...",python reference parameter-passing pass-by-reference,David Sykes,45.4k,"asked Jun 12, 2009 at 10:23"
3027,22,2.0m,"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?",python list reference copy clone,aF.,61.7k,"asked Apr 10, 2010 at 8:49"
3005,17,595k,"How can I make two decorators in Python that would do the following? @makebold @makeitalic def say(): return ""Hello"" ...which should return: ""<b><i>Hello</i></b>"" I'm ...",python decorator python-decorators,Imran,80.7k,"asked Apr 11, 2009 at 7:05"
